Date,Time,Date of posting,Time of posting,Message,Transaction type,Card info,Amount,Currency,Sender,Receiver,Note,Category
30/03/2024,18:10:09,31/03/2024,21:13:10,,card,111145******1111,-462.0375,DKK,,,,Shopping
30/03/2024,17:55:36,31/03/2024,20:58:02,,card,111145******1111,-816.775,DKK,,,,Shopping
30/03/2024,16:19:59,31/03/2024,17:41:19,,card,111145******1111,-1191.4,DKK,,,,Shopping
30/03/2024,22:02:51,31/03/2024,16:27:59,,card,111145******1111,-44.4,DKK,,,,Transport
29/03/2024,17:53:34,30/03/2024,18:32:05,,card,111145******1111,-192.4,DKK,,,,Groceries
28/03/2024,10:29:26,29/03/2024,18:16:35,,card,111145******1111,-75.85,DKK,,,,Groceries
27/03/2024,19:15:01,29/03/2024,01:39:32,,card,111145******1111,-447.4225,DKK,,,,Groceries
27/03/2024,13:16:32,28/03/2024,13:34:55,,card,111145******1111,-27.75,DKK,,,,Groceries
27/03/2024,19:18:10,27/03/2024,19:18:10,,account,,62.0305,DKK,,,,Not categorised
25/03/2024,13:17:16,27/03/2024,06:43:07,,card,111145******1111,-46.25,DKK,,,,Groceries
27/03/2024,04:16:16,27/03/2024,04:16:16,,account,,36388.8525,DKK,,,,Not categorised
24/03/2024,10:55:07,25/03/2024,18:21:58,,card,111145******1111,-92.5,DKK,,,,Charity
24/03/2024,12:07:39,25/03/2024,18:09:55,,card,111145******1111,-910.0705,DKK,,,,Groceries
24/03/2024,12:31:06,25/03/2024,17:56:56,,card,111145******1111,-149.5725,DKK,,,,Groceries
24/03/2024,12:25:28,25/03/2024,17:52:16,,card,111145******1111,-532.8185,DKK,,,,Groceries
23/03/2024,13:46:47,24/03/2024,20:35:46,,card,111145******1111,-2775,DKK,,,,Miscellaneous
23/03/2024,10:46:55,24/03/2024,17:45:34,,card,111145******1111,-280.09,DKK,,,,Groceries
23/03/2024,09:14:43,24/03/2024,17:31:56,,card,111145******1111,-28.2125,DKK,,,,Home
22/03/2024,13:15:32,24/03/2024,02:26:53,,card,111145******1111,-46.25,DKK,,,,Groceries
21/03/2024,13:15:22,23/03/2024,02:02:28,,card,111145******1111,-27.75,DKK,,,,Groceries
21/03/2024,15:14:00,23/03/2024,01:27:22,,card,111145******1111,-261.96,DKK,,,,Groceries
18/03/2024,13:16:27,20/03/2024,00:44:44,,card,111145******1111,-46.25,DKK,,,,Groceries
17/03/2024,10:41:02,18/03/2024,22:12:24,,card,111145******1111,-92.5,DKK,,,,Charity
17/03/2024,17:53:24,18/03/2024,18:54:34,,card,111145******1111,-59.2,DKK,,,,Food and Drinks
17/03/2024,11:53:39,18/03/2024,17:46:30,,card,111145******1111,-706.6075,DKK,,,,Groceries
16/03/2024,09:32:13,17/03/2024,22:28:17,,card,111145******1111,-28.2125,DKK,,,,Home
16/03/2024,12:58:47,17/03/2024,20:36:25,,card,111145******1111,-599.585,DKK,,,,Groceries
16/03/2024,10:42:24,17/03/2024,18:12:36,,card,111145******1111,-22.163,DKK,,,,Home
14/03/2024,19:33:47,17/03/2024,01:40:55,,card,111145******1111,-1811.705,DKK,,,,Shopping
15/03/2024,13:17:39,16/03/2024,18:39:06,,card,111145******1111,-46.25,DKK,,,,Groceries
15/03/2024,16:03:39,16/03/2024,16:28:27,,card,111145******1111,-153.55,DKK,,,,Food and Drinks
14/03/2024,13:16:54,16/03/2024,00:35:18,,card,111145******1111,-53.65,DKK,,,,Groceries
13/03/2024,16:05:33,15/03/2024,00:29:49,,card,111145******1111,-121.8225,DKK,,,,Groceries
13/03/2024,16:03:57,14/03/2024,21:08:49,,card,111145******1111,-22.2,DKK,,,,Groceries
12/03/2024,17:46:45,13/03/2024,23:25:39,,card,111145******1111,-1850,DKK,,,,Miscellaneous
12/03/2024,13:20:13,13/03/2024,21:42:25,,card,111145******1111,-74,DKK,,,,Groceries
11/03/2024,16:09:45,13/03/2024,01:43:57,,card,111145******1111,-245.31,DKK,,,,Groceries
10/03/2024,18:11:27,11/03/2024,19:18:27,,card,111145******1111,-202.39,DKK,,,,Groceries
09/03/2024,11:12:54,11/03/2024,00:55:54,,card,111145******1111,-22.163,DKK,,,,Home
09/03/2024,17:56:38,11/03/2024,00:12:55,,card,111145******1111,-312.65,DKK,,,,Transport
09/03/2024,12:22:57,10/03/2024,22:17:12,,card,111145******1111,-22.163,DKK,,,,Home
09/03/2024,18:06:08,10/03/2024,22:05:08,,card,111145******1111,-312.65,DKK,,,,Transport
09/03/2024,10:07:58,10/03/2024,20:17:16,,card,111145******1111,-28.2125,DKK,,,,Home
09/03/2024,13:32:55,10/03/2024,20:03:28,,card,111145******1111,-342.25,DKK,,,,Shopping
09/03/2024,18:54:59,10/03/2024,19:33:17,,card,111145******1111,-162.06,DKK,,,,Groceries
09/03/2024,10:08:13,10/03/2024,18:55:37,,card,111145******1111,-28.2125,DKK,,,,Home
09/03/2024,11:11:37,10/03/2024,18:49:54,,card,111145******1111,-28.2125,DKK,,,,Home
09/03/2024,11:08:17,10/03/2024,18:26:24,,card,111145******1111,-28.2125,DKK,,,,Home
08/03/2024,17:28:00,10/03/2024,00:58:12,,card,111145******1111,-201.465,DKK,,,,Groceries
06/03/2024,18:10:33,10/03/2024,00:11:14,,card,111145******1111,-381.1,DKK,,,,Shopping
08/03/2024,03:50:37,09/03/2024,18:49:27,,card,111145******1111,-555,DKK,,,,Transport
07/03/2024,14:15:57,08/03/2024,23:32:58,,card,111145******1111,-301.735,DKK,,,,Groceries
07/03/2024,16:36:18,08/03/2024,17:53:23,,card,111145******1111,-1572.5,DKK,,,,Transport
07/03/2024,13:17:37,08/03/2024,17:30:08,,card,111145******1111,-46.25,DKK,,,,Groceries
06/03/2024,11:26:43,07/03/2024,21:18:24,,card,111145******1111,-35.15,DKK,,,,Home
05/03/2024,17:52:38,06/03/2024,23:50:21,,card,111145******1111,-76.6825,DKK,,,,Groceries
05/03/2024,13:17:14,06/03/2024,18:39:57,,card,111145******1111,-46.25,DKK,,,,Groceries
02/03/2024,18:01:39,06/03/2024,00:18:57,,card,111145******1111,-6145.7,DKK,,,,Shopping
03/03/2024,13:28:53,05/03/2024,09:08:37,,card,111145******1111,-75.85,DKK,,,,Food and Drinks
03/03/2024,11:23:33,05/03/2024,06:17:36,,card,111145******1111,-279.6275,DKK,,,,Groceries
03/03/2024,10:42:43,04/03/2024,23:19:32,,card,111145******1111,-92.5,DKK,,,,Charity
03/03/2024,21:06:03,04/03/2024,21:10:13,,card,111145******1111,-35.15,DKK,,,,Home
02/03/2024,11:55:40,04/03/2024,05:41:14,,card,111145******1111,-22.163,DKK,,,,Home
02/03/2024,16:50:23,04/03/2024,05:13:23,,card,111145******1111,-146.6125,DKK,,,,Groceries
02/03/2024,10:29:57,04/03/2024,01:25:32,,card,111145******1111,-28.2125,DKK,,,,Home
01/03/2024,09:40:58,03/03/2024,15:09:07,,card,111145******1111,-335.6825,DKK,,,,Groceries
29/02/2024,17:49:01,02/03/2024,23:16:29,,card,111145******1111,-112.665,DKK,,,,Groceries
29/02/2024,13:19:09,02/03/2024,20:47:06,,card,111145******1111,-74,DKK,,,,Groceries
29/02/2024,13:45:46,02/03/2024,17:23:25,,card,111145******1111,-185,DKK,,,,Entertainment
01/03/2024,03:44:50,01/03/2024,03:44:50,,directDebit,,-13651.0205,DKK,,,,Home
01/03/2024,03:44:50,01/03/2024,03:44:50,,account,,57.794,DKK,,,,Not categorised
